RAJ2000,DEJ2000,Constellation
284.552764,4.1657658,Serpens
284.540892,5.1656952,Serpens
284.528961,6.1656256,Serpens
284.525985,6.4156075,Serpens
283.525657,6.4037800,Serpens
282.525416,6.3919063,Serpens
281.525316,6.3799911,Serpens
281.458569,6.3791943,Serpens
281.446467,7.3791218,Ophiucus
281.434306,8.3790493,Ophiucus
281.422062,9.3789759,Ophiucus
281.409759,10.3789034,Ophiucus
281.397401,11.3788290,Ophiucus
281.388045,12.1287737,Ophiucus
282.388372,12.1406946,Aquila
283.388872,12.1525745,Aquila
284.389458,12.1644087,Aquila
284.456262,12.1651964,Aquila
284.443875,13.1651230,Hercules
284.431371,14.1650496,Hercules
284.418754,15.1649752,Hercules
284.406051,16.1648998,Hercules
284.393176,17.1648235,Hercules
284.380188,18.1647472,Hercules
284.373636,18.6647091,Hercules
285.374451,18.6764908,Aquila
286.375494,18.6882229,Aquila
286.388426,17.6882992,Aquila
286.401243,16.6883736,Aquila
286.405477,16.3550682,Aquila
287.406464,16.3667412,Aquila
288.407336,16.3783512,Aquila
289.408436,16.3899002,Aquila
290.409566,16.4013786,Aquila
291.410609,16.4127865,Aquila
292.411881,16.4241199,Sagitta
293.413211,16.4353771,Sagitta
294.414453,16.4465485,Sagitta
295.415898,16.4576378,Sagitta
296.417399,16.4686394,Sagitta
297.418814,16.4795456,Sagitta
298.420429,16.4903603,Sagitta
298.921166,16.4957294,Sagitta
298.926000,16.0790844,Aquila
299.927644,16.0897484,Sagitta
300.929374,16.1003094,Sagitta
301.930962,16.1107616,Sagitta
302.932806,16.1211071,Sagitta
303.558997,16.1275158,Sagitta
303.569985,15.1275721,Aquila
303.580886,14.1276274,Aquila
303.591671,13.1276827,Aquila
303.602371,12.1277370,Aquila
303.613014,11.1277914,Aquila
303.623571,10.1278458,Aquila
303.634071,9.1278992,Aquila
303.636675,8.8779116,Aquila
304.637519,8.8880606,Delphinus
305.638561,8.8980923,Delphinus
306.013956,8.9018240,Delphinus
306.024084,7.9018745,Aquila
306.034184,6.9019241,Aquila
306.044226,5.9019737,Aquila
306.054210,4.9020238,Aquila
306.064196,3.9020729,Aquila
306.074152,2.9021223,Aquila
306.079101,2.4021468,Aquila
307.079373,2.4120035,Aquila
308.079529,2.4217334,Aquila
309.079829,2.4313359,Aquila
309.579877,2.4360874,Aquila
309.589377,1.4361323,Aquila
309.598846,0.4361772,Aquila
309.608316,-0.5637780,Aquila
309.617787,-1.5637331,Aquila
309.627256,-2.5636883,Aquila
309.636754,-3.5636432,Aquila
309.646282,-4.5635982,Aquila
309.655809,-5.5635533,Aquila
309.665394,-6.5635080,Aquila
309.675007,-7.5634623,Aquila
309.684648,-8.5634165,Capricornus
308.685951,-8.5729389,Capricornus
307.687083,-8.5825920,Capricornus
306.688214,-8.5923729,Capricornus
305.689459,-8.6022758,Capricornus
304.690533,-8.6123018,Capricornus
303.691549,-8.6224461,Capricornus
302.692709,-8.6327038,Capricornus
301.693696,-8.6430750,Aquila
301.704397,-9.6430187,Aquila
301.715184,-10.6429625,Aquila
301.726026,-11.6429062,Aquila
301.726369,-11.6762342,Sagittarius
300.727672,-11.6867104,Sagittarius
299.729089,-11.6972904,Sagittarius
298.730336,-11.7079744,Sagittarius
297.731494,-11.7187586,Sagittarius
296.732797,-11.7296362,Sagittarius
295.733899,-11.7406082,Sagittarius
294.734974,-11.7516699,Sagittarius
293.736134,-11.7628155,Sagittarius
292.737121,-11.7740450,Sagittarius
291.738081,-11.7853546,Sagittarius
290.739154,-11.7967367,Sagittarius
289.740029,-11.8081942,Sagittarius
288.740844,-11.8197193,Sagittarius
287.741775,-11.8313084,Sagittarius
286.742506,-11.8429613,Sagittarius
285.743236,-11.8546724,Sagittarius
284.744054,-11.8664360,Scutum
284.731779,-10.8665075,Scutum
284.719591,-9.8665800,Scutum
284.707461,-8.8666515,Scutum
284.695416,-7.8667231,Scutum
284.683399,-6.8667936,Scutum
284.671469,-5.8668642,Scutum
284.659567,-4.8669343,Scutum
284.647694,-3.8670044,Scutum
284.647293,-3.8336766,Scutum
283.647480,-3.8454983,Scutum
282.647696,-3.8573668,Scutum
281.648025,-3.8692768,Scutum
280.648212,-3.8812284,Scutum
280.398187,-3.8842230,Scutum
249.034681,-60.2644577,Norma
248.990535,-59.2647018,Norma
248.948909,-58.2649345,Norma
248.909569,-57.2651558,Norma
248.872290,-56.2653656,Norma
248.836927,-55.2655602,Norma
248.803282,-54.2657509,Norma
248.771238,-53.2659302,Norma
248.740683,-52.2661018,Norma
248.711444,-51.2662659,Norma
248.683462,-50.2664223,Norma
248.656626,-49.2665710,Norma
248.630877,-48.2667160,Norma
248.606100,-47.2668533,Norma
248.582239,-46.2669868,Norma
248.570624,-45.7670517,Norma
249.575214,-45.7557640,Scorpius
250.579605,-45.7444000,Scorpius
251.583652,-45.7329674,Scorpius
252.587614,-45.7214584,Scorpius
253.591376,-45.7098846,Scorpius
254.594793,-45.6982498,Scorpius
255.598154,-45.6865540,Scorpius
256.601286,-45.6748009,Scorpius
257.604046,-45.6630020,Scorpius
258.606749,-45.6511497,Scorpius
259.609251,-45.6392517,Scorpius
260.611381,-45.6273155,Scorpius
261.613455,-45.6153374,Scorpius
262.615299,-45.6033287,Scorpius
263.616771,-45.5912895,Scorpius
264.618216,-45.5792236,Scorpius
265.619401,-45.5671310,Scorpius
266.620245,-45.5550270,Scorpius
267.621001,-45.5429001,Scorpius
