HD,HIP,Vmag,Fl,Cst,BayerConst
216210,112862,5.99,21,PsA,PsA
216228,112724,3.50,32,Cep,iot Cep
216336,112948,4.46,22,PsA,gam PsA
216385,112935,5.16,49,Peg,sig Peg
216386,112961,3.73,73,Aqr,lam Aqr
216397,112917,4.95,15,Lac,Lac
216435,113044,6.03,,Gru,tau01 Gru
216437,113137,6.04,,Ind,rho Ind
216494,113031,5.80,74,Aqr,Aqr
216627,113136,3.27,76,Aqr,del Aqr
216637,113127,6.20,78,Aqr,Aqr
216640,113148,5.53,77,Aqr,Aqr
216655,113191,7.22,,Gru,tau02 Gru
216656,113190,6.67,,Gru,tau02 Gru
216701,113167,6.11,1,Psc,Psc
216735,113186,4.91,50,Peg,rho Peg
216763,113246,4.20,23,PsA,del PsA
216823,113307,5.72,,Gru,tau03 Gru
216916,113281,5.60,16,Lac,Lac
216956,113368,1.17,24,PsA,alf PsA
217014,113357,5.45,51,Peg,Peg
217050,113327,5.34,,Lac,EW Lac
217232,113503,5.76,52,Peg,Peg
217264,113521,5.43,2,Psc,Psc
217364,113638,4.11,,Gru,zet Gru
217428,113610,6.22,3,Psc,Psc
217531,113674,6.23,81,Aqr,Aqr
217675,113726,3.62,1,And,omi And
217701,113781,6.18,82,Aqr,Aqr
217782,113788,5.09,2,And,And
217792,113860,5.12,,PsA,pi. PsA
217891,113889,4.48,4,Psc,bet Psc
217902,113957,5.37,,Gru,kap Gru
217906,113881,2.44,53,Peg,bet Peg
218031,113919,4.64,3,And,And
218045,113963,2.49,54,Peg,alf Peg
218060,113996,5.44,83,Aqr,h Aqr
218227,114131,4.28,,Gru,the Gru
218240,114119,4.48,86,Aqr,c01 Aqr
218242,114132,5.62,,Gru,ups Gru
218329,114144,4.54,55,Peg,Peg
218356,114155,4.76,56,Peg,Peg
218376,114104,4.84,1,Cas,Cas
218452,114200,5.30,4,And,And
218470,114210,5.68,5,And,And
218527,114273,5.42,5,Psc,A Psc
218594,114341,3.68,88,Aqr,c02 Aqr
218634,114347,5.05,57,Peg,Peg
218640,114375,4.71,89,Aqr,c03 Aqr
218658,114222,4.41,33,Cep,pi. Cep
218670,114421,3.88,,Gru,iot Gru
218700,114389,5.39,58,Peg,Peg
218753,114365,5.68,2,Cas,Cas
218804,114430,5.91,6,And,And
218918,114520,5.15,59,Peg,Peg
218935,114526,6.19,60,Peg,Peg
219080,114570,4.53,7,And,And
219215,114724,4.22,90,Aqr,phi Aqr
219449,114855,4.24,91,Aqr,psi01 Aqr
219477,114844,6.51,61,Peg,Peg
219571,114996,3.99,,Tuc,gam Tuc
219576,114939,4.93,92,Aqr,chi Aqr
219615,114971,3.70,6,Psc,gam Psc
219688,115033,4.41,93,Aqr,psi02 Aqr
219693,115054,5.54,,Gru,phi Gru
219734,115022,4.82,8,And,And
219765,115836,5.50,,Oct,tau Oct
219784,115102,4.41,,Scl,gam Scl
219815,115065,5.98,9,And,And
219832,115115,4.99,95,Aqr,psi03 Aqr
219834,115126,5.20,94,Aqr,Aqr
